codigo,producto,ficha_anio,ficha_info,ficha_oem,ficha_medidas,imagen_producto,url_ficha,fuente
7495,BUJE DE PARRILLA,2001,BUJE DE PARRILLA | DEL | buje central parrilla delantera citroen c5 2001/..,352384,,https://www.tamarit.com.ar/image/productos/997495.jpg,https://www.tamarit.com.ar/image/productos/997495.jpg,VTH
7500,BUJE DE BARRA ESTABILIZADORA,,BUJE DE BARRA ESTABILIZADORA | TRAS | buje barra estab.trasera focus,98AG4A037BA,,https://www.tamarit.com.ar/image/productos/997500.jpg,https://www.tamarit.com.ar/image/productos/997500.jpg,VTH
7501,BUJE EJE TRASERO,2008 2010,BUJE EJE TRASERO | TRAS | buje brazo suspension trasera focus 99/... / volvo-s40-2008/2010,98AG5K653AE,,https://www.tamarit.com.ar/image/productos/997501.jpg,https://www.tamarit.com.ar/image/productos/997501.jpg,VTH
7502,BUJE,2008 2010,BUJE | TRAS | buje tensor trasero focus/ volvo-s40-2008/2010,98AG5K896AB,,https://www.tamarit.com.ar/image/productos/997502.jpg,https://www.tamarit.com.ar/image/productos/997502.jpg,VTH
7503,TOPE,2008 2010,TOPE | TRAS | tope suspension trasera focus/ volvo-s40-2008/2010,98AG4002AC,,https://www.tamarit.com.ar/image/productos/997503.jpg,https://www.tamarit.com.ar/image/productos/997503.jpg,VTH
7504,BUJE DE BARRA ESTABILIZADORA,,BUJE DE BARRA ESTABILIZADORA | buje barra estabilizadora ford fiesta m/n,2S655484AB,,https://www.tamarit.com.ar/image/productos/997504.jpg,https://www.tamarit.com.ar/image/productos/997504.jpg,VTH
7505,BUJE DE BARRA ESTABILIZADORA,,BUJE DE BARRA ESTABILIZADORA | buje barra estabilizadora ecosport 4x2,2N155484AC,,https://www.tamarit.com.ar/image/productos/997505.jpg,https://www.tamarit.com.ar/image/productos/997505.jpg,VTH
7506,BUJE DE BARRA ESTABILIZADORA,,BUJE DE BARRA ESTABILIZADORA | buje barra estabilizadora ecosport 4x4,2N155484BA,,https://www.tamarit.com.ar/image/productos/997506.jpg,https://www.tamarit.com.ar/image/productos/997506.jpg,VTH
7507,CAZOLETA,,CAZOLETA | DEL | cazoleta amortiguador delantera ford transit,6675788,,https://www.tamarit.com.ar/image/productos/997507.jpg,https://www.tamarit.com.ar/image/productos/997507.jpg,VTH
7508,FUELLE,,FUELLE | fuelle amortiguador del fiesta/ecosprt 02/...,2S653K036AB,,https://www.tamarit.com.ar/image/productos/997508.jpg,https://www.tamarit.com.ar/image/productos/997508.jpg,VTH
7509,BUJE EJE TRASERO,,BUJE EJE TRASERO | TRAS | buje eje trasero fiesta con y sin baul 04/... ecosport,2S655K653BB,,https://www.tamarit.com.ar/image/productos/997509.jpg,https://www.tamarit.com.ar/image/productos/997509.jpg,VTH
7510,BUJE DE BARRA ESTABILIZADORA,,"BUJE DE BARRA ESTABILIZADORA | DEL | buje barra estab. delantera mondeo diam. goma 19,5 mm.",93BB5484AB,,https://www.tamarit.com.ar/image/productos/997510.jpg,https://www.tamarit.com.ar/image/productos/997510.jpg,VTH
